

AAK;;;;;;;;;;
270.10;+1.50;+0.56%;270.50;267.40;"1265967
";;;;;
271.10;+1.00;+0.37%;272.20;268.20;"1076151
";;;;;
275.60;+4.50;+1.66%;276.80;270.50;"2328099
";;;;;
275.60;+4.50;+1.66%;276.80;270.50;"2328099
";;;;;
275.60;+4.50;+1.66%;276.80;270.50;"2328099
";;;;;




Atlas-Copco-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
248.50;0.00;0.00%;249.00;245.80;"602566
";;;;;
248.60;+0.10;+0.04%;249.70;246.60;"926723
";;;;;
250.90;+2.30;+0.92%;250.90;247.60;"783977
";;;;;
250.90;0.00;0.00%;252.40;248.40;"658136
";;;;;
255.60;+4.70;+1.87%;257.40;250.90;"1036369
";;;;;
255.60;+4.70;+1.87%;257.40;250.90;"1036369
";;;;;
255.60;+4.70;+1.87%;257.40;250.90;"1036369
";;;;;




Atrium-Ljungberg-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
165.60;-0.60;-0.36%;166.60;164.20;"17911
";;;;;
163.80;-1.80;-1.09%;167.00;163.60;"21689
";;;;;
165.80;+2.00;+1.22%;166.40;163.20;"29304
";;;;;
166.00;+0.20;+0.12%;167.80;165.60;"25679
";;;;;
166.40;+0.40;+0.24%;167.00;162.40;"51042
";;;;;
166.40;+0.40;+0.24%;167.00;162.40;"51042
";;;;;
166.40;+0.40;+0.24%;167.00;162.40;"51042
";;;;;




Attendo;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
48.52;+1.86;+3.99%;48.72;46.56;"592047
";;;;;
47.50;-1.02;-2.10%;48.28;47.36;"651692
";;;;;
47.50;0.00;0.00%;47.80;46.82;"393459
";;;;;
49.00;+1.50;+3.16%;49.38;47.42;"453908
";;;;;
47.80;-1.20;-2.45%;49.02;47.28;"578279
";;;;;
47.80;-1.20;-2.45%;49.02;47.28;"578279
";;;;;
47.80;-1.20;-2.45%;49.02;47.28;"578279
";;;;;




Autoliv-SDB;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
729.60;-0.80;-0.11%;733.00;721.00;"161896
";;;;;
727.20;-2.40;-0.33%;740.40;722.60;"160212
";;;;;
